unit,n_papers,exposure,contamination,persistence_yrs,recovery_slope
Hindawi,11537,0.3619,1.0,10,-0.0
IEEE: Institute of Electrical and Electronics Engineers,7788,0.6855,1.0,10,-0.0
Elsevier,5745,0.2991,1.0,10,-0.0
Springer,4449,0.3502,1.0,10,-0.0
Wiley,3947,0.4143,1.0,10,-0.0
Springer - Nature Publishing Group,2751,0.214,1.0,10,-0.0
Taylor and Francis,1798,0.3547,1.0,10,-0.0
IOS Press (bought by Sage November 2023),1686,0.1063,1.0,10,-0.0
PLoS,1313,0.2354,1.0,10,-0.0
IOP Publishing,1269,0.4488,1.0,10,-0.0
SAGE Publications,1209,0.362,1.0,10,-0.0
Spandidos,930,0.1219,1.0,10,-0.0
Frontiers,690,0.2016,1.0,10,-0.0
Springer - Biomed Central (BMC),624,0.2289,1.0,10,-0.0
Portland Press,236,0.1965,1.0,10,-0.0
Taylor and Francis - Dove Press,579,0.2641,1.0,10,-0.0
Elsevier - Cell Press,574,0.1397,1.0,10,-0.0
Oxford University Press,517,0.4323,1.0,10,-0.0
Royal Society of Chemistry (RSC),454,0.2402,1.0,10,-0.0
MDPI,453,0.2605,1.0,10,-0.0
AIP Publishing,397,0.438,1.0,10,-0.0
American Chemical Society (ACS),375,0.4328,1.0,10,-0.0
De Gruyter,264,0.1834,1.0,10,-0.0
American Society for Biochemistry and Molecular Biology (ASBMB),370,0.3619,1.0,10,-0.0
Wolters Kluwer - Lippincott Williams & Wilkins,306,0.5423,1.0,10,-0.0
Wolters Kluwer,279,0.6564,1.0,10,-0.0
University of El Qued,220,0.93,0.7,7,-0.12727
Verduci Editore,281,0.4433,0.7,7,-0.12727
EDP Sciences,782,0.0853,0.4,4,-0.14545
Association for Computing Machinery (ACM),382,0.3923,0.4,4,-0.14545
