event_time,mean_norm_citations,se,n,did_estimate,ci_lower,ci_upper,p_value,sig_stars
-10,0.3009594133639914,0.03587332267515416,17266,-0.5485551143313272,-0.6188668267746293,-0.47824340188802505,0.0,***
-9,0.32213599112896857,0.03332570214158403,20277,-0.5273785365663499,-0.5926969127638546,-0.46206016036884523,0.0,***
-8,0.39764490432635463,0.04071186699879439,22412,-0.4518696233689639,-0.531664882686601,-0.37207436405132693,0.0,***
-7,0.44688255344448297,0.029224615829769606,24500,-0.4026319742508356,-0.459912221277184,-0.34535172722448715,0.0,***
-6,0.5491648315212277,0.03859863458836755,26641,-0.3003496961740908,-0.3760030199672912,-0.2246963723808904,0.0,***
-5,0.6697372887112234,0.039816083438633305,28837,-0.17977723898409514,-0.2578167625238164,-0.10173771544437386,0.0,***
-4,0.8643355101985208,0.04138513047599785,31267,0.014820982503202296,-0.0662938732297535,0.09593583823615809,0.7203,
-3,1.0332968816836559,0.04553779147045016,34040,0.1837823539883373,0.094528282706255,0.2730364252704196,0.0001,***
-2,1.2738171701930494,0.03900774279397156,37297,0.42430264249773086,0.34784746662154664,0.5007578183739151,0.0,***
-1,1.604424702647425,0.03218959345616199,40797,0.7549101749521064,0.691818571778029,0.8180017781261839,0.0,***
0,1.990944797411001,0.03176660168422097,44334,1.1414302697156824,1.0791677304146092,1.2036928090167556,0.0,***
1,1.404582146948093,0.02183621856378753,45849,0.5550676192527745,0.5122686308677509,0.5978666076377981,0.0,***
2,1.1974935177343606,0.023566847765260523,42707,0.3479789900390421,0.30178796841913147,0.3941700116589527,0.0,***
3,1.0381221641552898,0.022556330583028607,37152,0.18860763645997125,0.1443972285172352,0.2328180444027073,0.0,***
4,0.9988416865774362,0.023976777442028228,26724,0.14932715888211767,0.10233267509574234,0.196321642668493,0.0,***
5,0.9396226370513117,0.02764806283899625,22247,0.09010810935599312,0.03591790619156047,0.14429831252042577,0.0011,**
6,0.8435323340972752,0.027617502658208202,19322,-0.005982193598043306,-0.06011249880813138,0.04814811161204477,0.8285,
7,0.726742378676359,0.02377678796404659,17404,-0.1227721490189595,-0.1693746534284908,-0.07616964460942818,0.0,***
8,0.6223907868717151,0.024607641170199663,16046,-0.22712374082360343,-0.27535471751719476,-0.1788927641300121,0.0,***
9,0.5352396601920406,0.019653446051385907,14708,-0.31427486750327793,-0.3527956217639943,-0.27575411324256155,0.0,***
10,0.4387356592160431,0.01771609573740131,13625,-0.41077886847927547,-0.445502416124582,-0.3760553208339689,0.0,***
