country,retraction_count,median_citations,mean_citations
China,33245,3.0,10.332471048277936
United States,5683,16.0,49.13302833010734
India,5566,7.0,21.326266618756737
Saudi Arabia,2081,11.0,23.836136472849592
Iran,1777,10.0,23.82104670793472
United Kingdom,1644,12.0,47.302919708029194
Japan,1472,11.0,32.3125
Pakistan,1418,10.0,22.933709449929477
South Korea,1272,5.0,19.42452830188679
Germany,1188,12.0,36.67340067340067
Egypt,1083,13.0,25.248384118190213
Russia,1002,1.0,9.620758483033931
Italy,934,14.0,34.57494646680942
Iraq,818,3.0,14.2200488997555
Malaysia,811,7.0,21.76818742293465
Australia,767,10.0,36.18122555410691
Unknown,759,0.0,2.868247694334651
Canada,726,12.0,38.180440771349865
Turkey,693,6.0,17.174603174603174
France,673,13.0,48.554234769687966
Taiwan,622,7.0,18.009646302250804
Spain,564,12.0,41.351063829787236
Ethiopia,511,10.0,18.874755381604697
Brazil,404,9.0,32.91831683168317
Netherlands,393,11.0,44.083969465648856
Bangladesh,315,16.0,31.52698412698413
Thailand,285,10.0,26.378947368421052
Uzbekistan,272,1.0,7.3713235294117645
Sweden,252,15.0,36.23809523809524
Vietnam,252,11.5,49.595238095238095
South Africa,239,7.0,22.14644351464435
Poland,239,9.0,26.497907949790793
Indonesia,226,5.0,17.141592920353983
Switzerland,223,15.0,53.73094170403587
Nigeria,205,7.0,22.053658536585367
United Arab Emirates,185,10.0,23.016216216216215
Singapore,185,13.0,39.49189189189189
Greece,175,6.0,26.942857142857143
Jordan,173,6.0,18.07514450867052
Kazakhstan,166,3.0,9.96987951807229
Belgium,155,6.0,28.0
Denmark,152,13.0,43.32236842105263
Czech Republic,143,10.0,31.062937062937063
Serbia,138,3.0,16.253623188405797
Norway,138,11.0,37.86231884057971
Tunisia,135,8.0,16.74074074074074
Mexico,130,6.0,16.8
Portugal,126,7.0,22.984126984126984
Ireland,120,12.5,59.85
Philippines,120,2.0,8.058333333333334
Israel,114,15.5,40.04385964912281
Romania,112,5.5,16.625
Hong Kong,106,8.0,25.89622641509434
Colombia,101,2.0,18.306930693069308
Finland,100,14.0,35.38
Oman,97,8.0,20.38144329896907
Ukraine,96,1.0,7.479166666666667
Ghana,95,11.0,25.08421052631579
Algeria,94,3.0,11.606382978723405
New Zealand,93,8.0,34.956989247311824
Austria,88,15.0,27.977272727272727
Lebanon,76,8.5,37.35526315789474
Nepal,75,6.0,27.866666666666667
Hungary,73,10.0,26.986301369863014
Morocco,68,4.0,13.176470588235293
Yemen,63,7.0,12.492063492063492
Chile,62,16.5,37.774193548387096
Azerbaijan,61,1.0,6.131147540983607
Argentina,59,11.0,24.271186440677965
Qatar,58,16.5,32.0
Kuwait,54,9.5,16.185185185185187
Peru,52,3.5,15.0
Sudan,52,6.5,15.5
Bahrain,48,4.0,14.541666666666666
Slovakia,46,9.0,18.73913043478261
Croatia,42,4.5,22.571428571428573
Afghanistan,39,10.0,12.820512820512821
Kyrgyzstan,38,3.0,8.078947368421053
Cameroon,37,3.0,9.567567567567568
Malta,37,4.0,13.216216216216216
Kenya,36,4.0,12.833333333333334
Ecuador,35,17.0,34.885714285714286
Belarus,31,14.0,32.83870967741935
Georgia,30,3.5,16.4
Cyprus,28,4.0,21.321428571428573
Sri Lanka,27,3.0,8.296296296296296
Democratic Republic of the Congo,23,1.0,5.478260869565218
Honduras,22,1.0,1.0
Lithuania,20,4.0,13.65
Burundi,20,3.0,7.25
Libya,20,7.5,11.75
Tanzania,18,13.0,19.72222222222222
Botswana,18,9.0,16.77777777777778
Senegal,17,38.0,95.88235294117646
Slovenia,16,12.0,20.1875
Macau,16,6.5,14.4375
Palestine,16,9.5,20.125
Armenia,15,2.0,2.1333333333333333
Bulgaria,15,7.0,25.866666666666667
Brunei (Brunei Darussalam),14,10.0,13.285714285714286
Zambia,14,5.0,20.428571428571427
Myanmar (formerly Burma),12,3.0,5.416666666666667
Uganda,12,6.5,16.333333333333332
Estonia,12,29.0,46.166666666666664
Bosnia & Herzegovina,11,7.0,15.818181818181818
Venezuela,11,0.0,0.5454545454545454
Tajikistan,10,1.0,4.7
Gambia,10,16.5,25.3
Gabon,10,8.5,15.0
Albania,10,3.0,9.0
Syria,9,4.0,7.111111111111111
Rwanda,9,3.0,3.3333333333333335
Mongolia,9,2.0,10.666666666666666
Luxembourg,9,17.0,30.555555555555557
Trinidad & Tobago,9,6.0,29.77777777777778
Montenegro,8,4.0,7.375
Kosovo,7,4.0,10.0
Cuba,7,7.0,9.714285714285714
Grenada,7,1.0,1.5714285714285714
Aruba,6,2.0,2.8333333333333335
Cambodia,6,7.0,15.333333333333334
Iceland,6,7.5,34.0
Benin,5,3.0,4.2
Niger,5,18.0,55.4
Papua New Guinea,5,6.0,6.2
Eswatini (formerly Swaziland),5,11.0,28.2
Moldova,5,8.0,23.6
Zimbabwe,5,8.0,7.2
Mali,5,9.0,16.6
Panama,4,15.5,22.5
Réunion Island,4,0.0,0.0
Latvia,4,1.0,0.75
Malawi,4,25.5,24.25
Guatemala,4,3.5,9.0
North Macedonia (formerly Macedonia),4,2.5,21.25
Chad,4,4.5,6.75
Burkina Faso,4,6.0,6.25
Republic of the Congo (Congo-Brazzaville),4,6.0,8.25
Uruguay,4,17.0,15.0
North Korea,3,1.0,1.6666666666666667
Laos,3,14.0,23.666666666666668
Madagascar,3,12.0,8.333333333333334
Maldives,3,19.0,19.0
French Polynesia,3,60.0,322.0
Costa Rica,3,10.0,10.666666666666666
Angola,2,13.5,13.5
Central African Republic,2,19.0,19.0
Bolivia,2,26.0,26.0
Dominican Republic,2,3.0,3.0
Cote d'Ivoire,2,4.0,4.0
Anguilla,2,2.0,2.0
Sierra Leone,2,28.5,28.5
Lesotho,2,4.5,4.5
Namibia,2,7.0,7.0
Mozambique,2,7.5,7.5
U,2,3.0,3.0
Samoa,2,1.5,1.5
Puerto Rico,2,25.0,25.0
Sint Maarten,2,0.0,0.0
Cayman Islands,2,34.0,34.0
El Salvador,1,5.0,5.0
Dominica,1,17.0,17.0
Cook Islands,1,147.0,147.0
Comoros,1,42.0,42.0
Barbados,1,0.0,0.0
Bermuda,1,90.0,90.0
Belize,1,3.0,3.0
Eritrea,1,23.0,23.0
Mauritius,1,30.0,30.0
Faroe Islands,1,53.0,53.0
French Guiana,1,900.0,900.0
Fiji,1,35.0,35.0
Gaza Strip,1,6.0,6.0
Haiti,1,3.0,3.0
Jamaica,1,5.0,5.0
Guyana,1,18.0,18.0
Liberia,1,0.0,0.0
Paraguay,1,0.0,0.0
Saint Vincent & the Grenadines,1,0.0,0.0
Somalia,1,8.0,8.0
St. Kitts & Nevis,1,0.0,0.0
Togo,1,12.0,12.0
Turkmenistan,1,9.0,9.0
